ID,Name,Longitude,Latitude
1,Beograd - Novi Beograd,20.4680556,44.8186111
3,Čačak,20.3497222,43.8913889
4,Kragujevac,20.9333333,44.0333333
5,Kruševac,21.3338889,43.5800000
6,Kula,19.5263889,45.6088889
7,Požarevac,21.1825000,44.6152778
8,Vranje,21.9002778,42.5513889
9,Vršac,21.3036111,45.1166667
10,Zaječar,22.2847222,43.9041667
11,Pančevo,20.6402778,44.8708333
12,Kraljevo,20.6894444,43.7258333
13,Subotica,19.6666667,46.1000000
14,Loznica,19.2260740,44.5349400
15,Niš,21.9033333,43.3247222
16,Zlatibor,19.7009670,43.7217230
17,Bečej,20.0527950,45.6251280
18,Osijek,,
